,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model,Kilometers_Driven_log,Price_log,New Mileage,newprice,num_engine,power
0,Maruti Wagon R LXI CNG,Mumbai,2010,72000.0,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,1.75,14,Maruti,WagonR,11.184421397998193,0.5596157879354227,37.24,7.87,998.0,58.16
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000.0,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.5,9,Hyundai,Creta1.6,10.621327345686446,2.5257286443082556,19.67,9.74,1582.0,126.2
2,Honda Jazz V,Chennai,2011,46000.0,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.61 Lakh,4.5,13,Honda,JazzV,10.736396675471232,1.5040773967762742,18.2,8.61,1199.0,88.7
3,Maruti Ertiga VDI,Chennai,2012,87000.0,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.0,12,Maruti,ErtigaVDI,11.37366339763672,1.791759469228055,20.77,7.87,1248.0,88.76
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670.0,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,17.74,11,Audi,A4New,10.61324599890127,2.8758219768814333,15.2,53.14,1968.0,140.8
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000.0,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5.0,,2.35,12,Hyundai,EONLPG,11.225243392518447,0.8544153281560676,29.54,9.74,814.0,55.2
6,Nissan Micra Diesel XV,Jaipur,2013,86999.0,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.5,11,Nissan,MicraDiesel,11.373651903317787,1.252762968495368,23.08,9.51,1461.0,63.1
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000.0,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,21 Lakh,17.5,8,Toyota,InnovaCrysta,10.491274217438248,2.8622008809294686,11.36,21.0,2755.0,171.5
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430.0,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.2,11,Volkswagen,VentoDiesel,11.073334642132687,1.6486586255873816,20.54,11.105,1598.0,103.6
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932.0,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.95,12,Tata,IndicaVista,11.096379186851246,0.6678293725756554,22.3,7.63,1248.0,74.0
10,Maruti Ciaz Zeta,Kochi,2018,25692.0,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,10.65 Lakh,9.95,6,Maruti,CiazZeta,10.153934938377683,2.2975725511705014,21.56,10.65,1462.0,103.25
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000.0,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.49,12,Honda,City1.5,11.002099841204238,1.501852701754163,16.8,11.15,1497.0,116.3
12,Maruti Swift VDI BSIV,Jaipur,2015,64424.0,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.6,9,Maruti,SwiftVDI,11.07324151347538,1.7227665977411035,25.2,7.87,1248.0,74.0
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000.0,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,27.0,10,Land Rover,RoverRange,11.184421397998193,3.295836866004329,12.7,71.85499999999999,2179.0,187.7
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000.0,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,17.5,12,Land Rover,RoverFreelander,11.350406535472453,2.8622008809294686,0.0,71.85499999999999,2179.0,115.0
